Query|Document
Upgrade Your People in Final Fantasy I February 27|Published 02/10/16  this article is being directed from a Dawn of Souls view. It is not a good idea to do this with the NES version, though it would still work. Read on for the Steps.
Speak Al Bhed of Final Fantasy X and X February 27|Published 02/10/16   Learn to speak Al Bhed. If you don't know what Al Bhed is, it is a language made up by the creators of Final Fantasy X and Final Fantasy X-2. 
Level Up Easily in Final Fantasy VI Advance 6/09/35|Published 06/09/35  do you need some quick levels to help you on a boss, but the problem is you don't know a good training place? If so then this article will show you a great place to gain levels!
Get Through Final Fantasy Iv on the Ds  Pt. Iv January '34|posted 01/13/2034   OK. Here is the next Pt. to the walk-through. Follow these quick steps to get through the second part of the caves. 
September 2009 obtain Doomtrain in Final Fantasy VIII|Doomtrain is a special and optional summon that only appears exclusively on Final Fantasy VIII. To get Doomtrain, you need to summon this particular GF, or Guardian Force, instead of acquiring it through battle or story-related progress  written 09/14/2009
Rush a Mule in Diablo II (Hardcore) 04/3/31|Posted 04/03/31  there are lots of instructions on how to get a level one mule into Hell, but most of them are on Softcore and they involve the mule dying. This is not something you want to happen in Hardcore.
Build a Panic Room in Don’t Starve New Year's Day 2008|By some miracle, you’ve managed to survive the first couple weeks in Don’t Starve, only to hear growling just before you are assaulted by quite a few creatures you’re not familiar with  Created 1/6/08
08/26/34 catch Rabbits in Don’t Starve|Rabbits are probably one of the more versatile resources in Don’t Starve. While their meat is one of the least filling food in the game, you could use it for various things, like making jerky, feeding the pigs, and even use the rabbits themselves as crafting materials!  Published 08/26/34
Camp Underground in Don't Starve March '31|Once you get a good footing in your playthrough and have survived long enough to accumulate quite a lot or resources, you might want to consider moving underground at some point  posted 03/19/2031
6/8/35 cook Frog Legs in Don’t Starve|released 06/08/35  sometimes, when exploring in the game Don't Starve, you might come across a nice little pond in the middle of the grasslands or the forest, when suddenly, frogs start attacking you!
Play a Sorcerer in Diablo middle of 2043|Posted 8/24/43   This is just a simple guide for beginners and intermediate players. 
January 2038 multiseat Diablo III with Softxpand|published 01/20/2038  have 2 people play Diablo III from the same PC at the same time using their own accounts, keyboards and mice. A very neat solution for LANs without the need for so many PCs.
12/11/18 kill a Super Mutant Overlord in Fallout |It's rare. It really is. But sooner or later, you're going to face a Super Mutant Overlord, and it ain't gonna be pretty. Luckily for you, killing them is so much more simple than you may have feared  Published 12/11/18
