Query|Document
2/9/27 sell Fine Art Online|So you're a new or aspiring artist and your creativity has spawned something  unique  and interesting. Now you're ready to display and sell this creation and perhaps make some money, but you're venturing into the unknown  written 02/09/27
Be Well Read 03/09/34|"If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read  created 03/09/34"
Pick a Stage Name Oct of 2026|Posted 10/15/2026  stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers.
Get More Burlesque Gigs 07/20/02|"Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability  Written 07/20/02"
Feb of 2010 get a Record Deal With Phantom City Studio|released 02/01/2010  this article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo.
4/24/48 buy on Ticketmaster|written 04/24/48  ticketmaster is a notorious and known website where people can purchase tickets to different shows of any kind without having to go to an actual box office.
Become a Famous Artist Feb 22|released 02/16/xx  your dream of becoming a famous artist may not be as far-fetched as it might seem: child prodigy Sir John Everett Millais was one of the founders of the Pre-Raphaelite  [1]   movement, and won a silver medal at the Society of Arts at age nine  [2]  .
Reduce Entertainment Expenses 7/09/19|According to the Bureau of Labor Statistics, the average American household spent a little more than $2,500 on entertainment in 2011. If you are one of the many who spend too much, here are some easy steps to help you reduce your entertainment expenses  created 07/09/19
1/14/49 find the Nearest Casino|Written 01/14/49  finding the nearest casino is challenging, especially if casino gambling is not legal in your area. However, there are various means you may use to locate a casino.
Keep Hobby Costs Down 02/25/30|Released 02/25/30  do you love your hobbies but don't have the money to pursue them to the full extent you'd like? It's not a hopeless cause – here are some good ways to keep your spending in check and still have lots of fun in your free time.
Conduct a Workshop 8/29/09|Learning how to conduct a workshop is important for educators, business leaders, scientists, and other professionals. A successful workshop provides participants with new skills, information, and a sense of accomplishment  released 08/29/09
Thanksgiving 2007 create Printed Circuit Boards|Created 11/24/07  so you have that circuit designed and ready. You did some computer aided simulations and the circuit is working great. Only one thing left! You need to create a printed circuit board so you can see it in action!
Go Adventuring as a Teen New Year's Day 2039|written 01/05/39  do you like to do adventures? Are you too small in doing these? Well, let's read this article for help. Note: This article is mainly for teens and teens must take parental guidance before doing an adventure
9/22/17 cope with a Bedridden Parent|When a parent becomes bedridden, it can hit you hard. Whether you're providing care or just finding someone to help with it, it can take an emotional toll on you  created 09/22/17
Be Healthy June 7|Released 06/06/xx  many people think that being healthy is a difficult task, involving months of dieting accompanied by hours at the gym. However, this is not actually true.
Jul 20 check Your Pulse|published 07/13/xx  checking your pulse allows you to determine your heart rate without any special equipment. This can be useful if you're trying to lose weight or you have a brain condition.
Ask God for Something 6/19/27|You have something you want to ask God for, but you don’t know how to go about asking. God hears your prayers, but he doesn't always give you exactly what you ask for  posted 06/19/27
Deprogram a Religious Cult Member Oct 2005|Created 10/22/2005  it can be frightening when a loved one joins a cult. You may not know what to do, or how to help them. Here is how to encourage them to think independently, and keep their heads.
Explore & Understand Value or Quality in Life Jul '30|Written 07/03/2030  value or Quality has been a long standing complex part of life. What is quality, what is value? What makes life or gives our lives quality that we can value and appreciate?
Contrast Evolution and Intelligent Design From a Creationist Perspective 2006 March|Whether you have basic religious questions, or are considering basic ideas in creation, this is not intended to cover the theory of evolution, as such  Released 03/09/2006
Nov 2037 create the Thoughts You Want|We have all started accepting the fact that ‘thoughts create our world.’ While it is an exciting revelation for some, this awareness is making life miserable for others, as they are unable to control negative or destructive thoughts and create positive and creative thoughts  Written 11/22/2037
2038 October choose a Crystal That Works for You|Written 10/10/2038  there's something quite mystical about crystals that draws the attention of many people, whether you are a practicing spiritualist or not. Many people just do not know where to start when choosing a crystal that's right for them.
Describe Taoism 6/14/19|posted 06/14/19  taoism is an ancient Chinese religion and Philosophy based on the teachings in the Tao Te Ching by Lao-Tzu. Taoism is often difficult to describe to people who have never heard of it, as the Tao Te Ching is extremely vague in what it is trying to say.
beginning of last year current date: 4/1/2049 know Good from Evil|Released 01/01/48  ever wondered about how people can be good or evil? We all have good and evil within each of us, yet some will have greater evil than good. Follow this and look at people, observations are key.
4/10/27 coordinate a Spiritual Retreat|If you’ve been put in charge of planning a spiritual retreat for your organization, let us help you maximize the experience with some helpful planning tips and suggestions  created 04/10/27
beginning of last year current date: 8/8/2011 teach and Avoid the Dangers of Fake Faith Healers| Here is how to teach and also avoid the dangers of fake faith healers.   Written 01/01/10
1/26/28 talk to God|written 01/26/28  talking to God involves a very spiritual, personal, often private, relationship. With so many religions and popular opinions about relating to God, figuring out how you should talk to God may seem complicated.
Jan 2047 start a Brotherhood|created 01/01/2047   Are you and your friends thinking about starting a brotherhood? This how-to will help along the way. 
Set up a Worship Set May 27|written 05/07/xx  did you want to have a successful worship song set? This article will explain how to worship in a way that is both easy to play, and allows others to worship uninterrupted as well.
Jun 2028 save Yourself|Escaping the deep grooves of a life rut requires willpower, planning, and resolve. You can save yourself. Learning to identify the bad situations and behaviors that keep you feeling low is the first step in a significant transformation that can and will help you out  written 06/11/2028
last year current date: 11/15/2016 restart Your Life|Many reasons may prompt you to hit the ‘refresh’ button on your life. Perhaps you are going through a divorce, overcoming an addiction, healing from a serious injury or illness, or rebuilding after an emotional wound like betrayal  Posted 01/01/15
10/1/31 remember Your Past Lives|Have you been an astronaut? A pioneer? An actress, or a former king? Would you like to find out? Discovering your past life can be fun. It's easy, relaxing, and you don't need a Hollywood hypnotherapist to go exploring!  published 10/01/31
2005 Dec be an Idealist|Anyone could have some strongly held ideals, without being an idealist all the time. Ideals are  not  just rules to be broken. The idealist almost all of the time has  strong beliefs or character  even if not expressed and probably lives by holding definite ways, perhaps some like absolutes, laws  Posted 12/07/2005
Be a Student of All Religions Sep of 2000|How do you study  religion ? Consider whether you will search religion as definite faiths, personal morality and ethics--or religion as philosophy, common beliefs, real Truth or religious opinion  Created 09/07/2000
Baptize Someone Oct '08|Written 10/03/2008  when someone is ready to ask God’s forgiveness for sins and accept Jesus as their Savior, it’s time for them to be baptized. The process for baptizing someone includes making some preparations ahead of time.
Be a Fascist Jan '36|Fascism (from the Latin word fascis) is an oft-misunderstood ideology, equated with war and violent tyranny. Both the modern-day left and right wings use it as a buzzword for anything that they consider to be threatening, be it increased state authority or socialized medicine  posted 01/07/2036
Avoid Temptation to Sin 2001 August|Human beings are naturally inclined towards sin.  Everyone  feels the urge to sin at some point because sinning gives us tangible yet fleeting benefits at the cost of moral and spiritual ones  released 08/14/2001
Feb of 2029 become Superior To Others|Many humans were worshiped throughout history as gods. The Japanese emperors, the Egyptian pharaohs, the ancient Roman Emperors; all of them were official deities within their state religion, and yet there are very few who honor them as deities today (though a few who worship the Japanese Emperor as a deity still remain.)  posted 02/18/2029
01/09/09 become More Spiritual|Do you sometimes feel like you've lost yourself, or that you're not really yourself at all? Or do you simply want to grow or become who you should be  Created 01/09/09
08/2/10 become Lutheran|Created 08/02/10  lutheranism is a denomination of the Christian Church. Lutherans believe that a person is not saved by being good, but only by God's grace through faith in Jesus.
Test for Down Syndrome February 2013|published 02/12/2013  down syndrome is a chromosomal abnormality (genetic disability) in babies that leads to predictable mental and physical characteristics, such as certain facial features (slanted eyes, thick tongue, low-set ears), small single-creased hands, heart defects, hearing problems, learning disabilities and reduced intellect.
Treat Cyclical Vomiting Syndrome 2026 Feb|created 02/26/2026  getting  diagnosed  with Cyclic Vomiting Syndrome (CVS) can feel pretty upsetting – but diagnosis is half the battle! Now that you know the problem you can start treatment to ease your symptoms.
Recognize the Signs of Down Syndrome April 2040|Written 04/17/2040  down Syndrome is a condition wherein a person is born with a partial or full extra copy of the 21st chromosome. This extra genetic material then alters the normal course of development, causing various physical and mental traits associated with Down Syndrome.
Recognize Category C Bioterrorism Agents February '23|"According to the CDC, category C bioterrorism agents are the ""third highest priority agents, [including] emerging pathogens that could be engineered for mass dissemination in the future because of availability, ease of production and dissemination, and potential for high morbidity and mortality rates and major health impact.""  published 02/06/2023"
October of 2049 prevent Amebiasis|Released 10/25/2049  travel is a wonderful way to expand your mind and experience the world! However, living in or traveling to a tropical area that doesn’t have good sanitation can put you at risk for amebiasis – it's most common in India, parts of Africa, and parts of Central and South America.
Nov 2041 develop a Strong Immune System|Published 11/18/2041  your  health  is one of the most valuable things you have. While there are ways to help you get over sickness faster, one of the best ways to fight illness is to prevent it.
Clean Dentures 5/01/04|It is important to establish a dental hygiene routine to care for your dentures. In fact, you must clean dentures with more diligence than you ever cleaned your natural teeth  Created 05/01/04
February of 2046 prevent Anisakiasis from Parasites in Fish|Anisakiasis is a parasitic infection of the gastrointestinal tract by larval nematodes of the family  Anisakidae , including genera  Anisakis ,  Phocanema ,  Contracaecum ,  Terranova   Published 02/17/2046
Clean a Loofah or Natural Sponge 04/16/35|published 04/16/35  a loofah, also known as a sponge, is used for exfoliating dead skin and as a general-purpose sponge for personal hygiene. There are natural loofahs, which come from the fibrous skeleton of the loofah fruit, and loofahs made from plastic and synthetic material.
09/05/05 clean Earbuds|If you frequently use your earbuds while you’re listening to music, watching YouTube videos or catching up on podcasts, you’ve probably noticed how dirty they can get after a while  posted 09/05/05
Buy a Toilet 2/10/01|In your lifetime, you're going to flush your toilet an average of 140,000 times. Your toilet will also account for about 30% of your home's water use, so replacing an old, faulty toilet or purchasing an eco friendly toilet can benefit both the environment and your bottom line  Released 02/10/01
1/4/42 clean a Fitbit Band|published 01/04/42  fitbit bands pick up sweat, oil, and debris during regular use. Cleaning after each use helps prevent buildup that stains your band or irritates your skin.
2004 Feb prevent MRSA Infection|Methicillin Resistant Staphylococcus Aureus (MRSA) is a staph bacteria that is resistant to most antibiotics. While most staph bacteria live on your skin and in your nose without causing any problems, MRSA is different because it cannot be treated using common antibiotics like methicillin  published 02/26/2004
Boost Immunity with Exercise Jun of 2008|published 06/14/2008  exercise is a great way to develop your body and calm your mind. Exercise can also boost your immune system and help you feel better if you’re sick.
02/6/23 protect Yourself from Gym Germs|Posted 02/06/23  gyms can be dirty places. With all those people using them and all that sweat pouring over the equipment, gyms are the ideal breeding ground for bacteria and germs.
Share a Drink Without Spreading Germs 01/21/04|written 01/21/04  spreading germs through sharing drinks is well documented. The CDC does not recommend sharing drinks to avoid contracting diseases like mono or the common cold.
Care for Flu Patients Without Getting Sick 10/04/11|If you are caring for a person with the flu and want to avoid getting sick, it is important to practice preventative strategies. With careful hand washing, keeping space between yourself and the infected person, and cleaning and disinfecting any shared surfaces, among other strategies, you can greatly decrease your chances of catching the flu  Written 10/04/11
Spit 04/26/06|Sometimes, you just gotta. If you absolutely, positively have to spit, you can learn to do it as courteously and cleanly as possible to get it over with  published 04/26/06
Feb '09 sanitize a Public Toilet|Written 02/22/2009  public restrooms often harbor different kinds of bacteria and germs that can make you sick. Although it’s unlikely that you will contract any serious diseases from a toilet seat, you may nevertheless want or need to sanitize public toilets before using them.
Start a Day in a Healthy Way 01/2/05|Mornings can be very busy and sometimes it’s hard to remember to be healthy. If you feel like your morning routine has become unhealthy and you’d like to make some changes, there are simple things you can do to improve it  written 01/02/05
Use the Bathroom Outdoors March 2021|If you ever need to relieve yourself outside without the conveniences of indoor plumbing, you might be in for a surprise. It can be quite difficult to find a good spot and urinate or defecate without making a mess or being seen, and without leaving behind evidence of your deed  published 03/11/2021
Safely Use a Public Bathroom 2023 Jun|posted 06/18/2023  using a public bathroom can be an uncomfortable proposition, as many people are hesitant to enter a public facility due to fears of coming in contact bacteria and germs.
07/12/38 wash Hair in a Sink|Written 07/12/38  there are numerous reasons why you may not want to wash you hair in the shower. Perhaps you are in a hurry, perhaps you just got a new tattoo, or maybe you wear hair extensions.
04/2/01 use UV to Sanitize Water|Drinking water is essential to living; however, it is important that the water you drink is not contaminated with microorganisms that can make you very sick  Published 04/02/01
Eat Right While Pregnant March of 2027|Good nutrition during pregnancy, and enough of it, is very important for a baby to grow and develop. When you're pregnant you need to pay extra attention to what you eat, so both you and the baby will be happy and healthy  Posted 03/23/2027
Oct 2000 grow Taller|Written 10/10/2000  your height is largely determined by both your genetics as well as environmental factors. Although several factors that determine your height are out of your control, there are a few things such as your height stays the same.
Dress Fashionably When You’re Pregnant 2033 September|Pregnancy  is no longer considered a time in a woman’s life when she has to wear baggy clothes. Many celebrities have made it fashionable to proudly show their growing stomachs, and the general public is following suit  Released 09/18/2033
4/1/45 get Well Fast|written 04/01/45  when you're not feeling well, all you can think about is how to feel better fast. It's helpful to already have a strategy and supplies on hand, so when sickness strikes you'll know what to do.
1/4/29 give Yourself a Deep Cleansing Facial|Getting a facial is a relaxing but pricey endeavor. Fortunately, you can make your skin smoother, softer, and less irritable by giving yourself a facial and re-creating the professional experience right at home  Created 01/04/29
Jun '20 give Your Body a Basic Post Christmas Detox|Posted 06/13/2020  happy new year! Hopefully, you had a great time during the festive season and you are looking forward to the rest of your year. Feeling very positive about the year ahead but maybe a little guilty about your over-indulgences?
March 2007 keep Healthy|Written 03/11/2007  one of the most important things in life is to be healthy--not just physically, but mentally and emotionally as well. Follow these steps to create a well-balanced, healthy life.
12/03/28 keep a Health Journal|A health journal or diary helps one keep track of any relevant information about his wellness in general. It is kept mostly by people who have chronic conditions to monitor the progression of the disease, to note the presence of new symptoms, and to keep track of medications  written 12/03/28
Sep 2047 improve Your Health with Turmeric|Written 09/24/2047  turmeric, also known as Curcumin, has been used for thousands of years to help fight off infection, reduce inflammation, help with digestive issues, and even fight off certain cancers.
Get Well During Your Hospital Stay 07/29/05|Recuperating and recovering from surgery, procedures, or hospitalization from infections can be overwhelming. Planning to be healthy on a daily basis can help make being ill and recovering from procedures an easier process to overcome  Posted 07/29/05
1/31/18 improve Your Health During Spring Semester|posted 01/31/18  spring semester can be harder on you because you only have a small time to rest from fall semester before you have to be back at school again. It can also take its toll on you because the winter weather during the beginning of the semester can often break down your immunity.
Lead a Healthy Life 9/06/16|To lead means to take charge and guide. By deciding to lead a healthy life, you're deciding to assume command over your own habits and actions. Take care of the basics by eating, exercising, and sleeping  Written 09/06/16
03/22/00 limit Your Exposure to Lead|Lead, also known as Pb on the periodic table or  plumbum  in Latin, has been widely used for about 7000 years because of its weight and soft properties  Published 03/22/00
11/02/28 know if You Have Spondylosis|Spondylosis (also known as cervical spondylosis or cervical osteoarthritis) is the degeneration of spinal discs in the neck. While it is a common condition among older people, symptoms develop slowly over time and vary greatly from person to person  Published 11/02/28
Know Whether You Should Get Eye Correction Surgery Feb '12|Eye correction surgery, which is commonly referred to as Lasik (Laser-assisted in situ keratomileusis) surgery, has been around since the 1980s. This surgery can help or correct problems such as nearsightedness, farsightedness, and astigmatism  Posted 02/12/2012
Maintain a Nice Healthy Glow 2020 Jul|Posted 07/08/2020  do you want to know how to maintain a healthy complexion? There are just a few simple steps, which will leave you looking fresh faced, and loving your glow!
Maintain an Erection July '44|Low libido can be caused by many different things including medications, fatigue, recreational drugs, alcohol, depression, relationship problems, fear, systemic illness, and testosterone deficiency  created 07/16/2044
Maintain Healthy Kidneys 8/09/14|Your kidneys are vital organs that function mainly as filters and, therefore, have a big impact on fluid and electrolyte balance, blood pressure regulation, urine creation, red blood cell production and energy levels  Created 08/09/14
8/2/39 lower TSH Levels Fast|published 08/02/39  having high thyroid-stimulating hormones (TSH) leads to a condition called hyperthyroidism. Hyperthyroidism pushes your metabolism into overdrive, causing difficulty sleeping, moodiness, extreme weight loss, and an enlarged thyroid.
September of 2038 flavor Cigars or Pipe Tobacco|You can flavor cigars and pipe tobacco at home with some simple methods and ingredients. This is a great way of revitalizing dry tobacco products or improving the flavor of lower quality ones  written 09/16/2038
Make Smoke Pipes From Everyday Objects May '38|written 05/24/2038  can't remember where you put your pipe? Bummer! Not to worry, you have things around your house—- even in your refrigerator!—- that will fit together to help you vaporize your favorite herbal remedies.
December 2037 make a Water Bottle Bong|Released 12/01/2037  need a bong and don’t have one around? This wikiHow will show you how to make a bong out of a water bottle. Best of all, you can recycle the bottle when you’re done!
Make an Apple Pipe Jul '48|Published 07/19/2048  if you find yourself with something to smoke and no pipe to be found, try making one out of an apple. This wikiHow will show you two different ways of making one.
Smoke a Pipe Instead of Cigarettes 01/25/24|Pipes are fun, challenging, and arguably more socially acceptable than cigarettes. They also don't cause lung cancer as fast as cigarettes do, although they can cause oral cancer  posted 01/25/24
2014 October sift Herbs for Smoking Use|"created 10/14/2014  the procedure described below produces two uniform particle sizes, each of which can be smoked, or ""semi-vaporized"" at minimum temperature (385F/197C), in a screened   long-drawtube one-hitter  , permitting user to receive maximum benefits of herbal ingredient while minimizing amount smoked and carbon monoxide and other combustion toxins."
2045 Jul make a Waterfall Bong|As the great Bob Marley once said, herb is a plant. Herb is so good for everything.  [1]   Sometimes, however, you may be looking for a new and different way to smoke herb  Published 07/15/2045
Jan 2028 get Paid for Donating Your Eggs|Donating your eggs can be a great way to earn extra income and help a family that's struggling to conceive. Egg donation can result in a large payment, which you can then use towards debt or other financial goals  created 01/03/2028
